subasin_id,volume_entrada,volume_total,vazão_de_entrada,vazão_de_saida,rompeu,volume_sedimento_erodido,massa_sedimento_erodido,sedimento_afluente,sedimento_efluente
1,17393,17393,4.35,3.08,False,0.0,0.0,25.43,12.72
2,22012,22012,4.7,3.32,False,0.0,0.0,17.24,8.62
3,169272,169272,24.55,17.36,False,0.0,0.0,209.92,104.96
4,1078957,1078957,78.97,55.84,False,0.0,0.0,403.1,201.55
5,647252,647252,55.02,38.91,False,0.0,0.0,289.67,144.83
6,613619,613619,66.06,46.71,False,0.0,0.0,543.54,271.77
7,43465,43465,9.65,6.82,False,0.0,0.0,86.4,43.2
8,177711,177711,25.51,18.04,False,0.0,0.0,168.54,84.27
9,38462,38462,5.97,4.22,False,0.0,0.0,47.27,23.63
10,141,141,0.05,0.04,False,0.0,0.0,0.11,0.06
11,1369,1369,0.57,0.4,False,0.0,0.0,1.8,0.9
12,5174,5174,1.87,1.32,False,0.0,0.0,12.46,6.23
13,45362,45362,11.15,7.88,False,0.0,0.0,100.1,50.05
14,11384,11384,3.74,2.64,False,0.0,0.0,22.74,11.37
15,11448,11448,3.62,2.56,False,0.0,0.0,32.67,16.34
